0	positive	2	Antacid	cyanate	Administration of sodium cyanate in the gelatin capsules, taken with an antacid, improved the dose-response relationship within a given patient.
1	positive	2	Antacid	spinach	ConclusionsThus, it may be concluded that spinach displays significant antacid activity be it in the raw juice form or as an extract in methanol.
2	positive	2	Antacid	fenugreek	Moreover, the fenugreek fiber effects were generally similar to the results produced by an OTC antacid medication (ranitidine at 75mg, twice a day).
3	positive	2	GLP-1	safflower	"Casein (1% w/v), safflower oil (3.35% w/v), sucrose (50mM) and rebaudioside A (12.5mM) stimulated GLP-1 release from intestinal segments, whereas casein only stimulated PYY and CCK release."""
4	positive	2	GLP-1	ginseng	Our previous studies have showed that ginseng total saponins (GTS) exhibited antidiabetic effects partly via modulating GLP-1 release.
5	positive	2	GLP-1	l-glutamine	"Previously we have reported that, cycloart-23-ene-3, 25-diol (called as B2) and L-glutamine stimulated glucagon like peptide-1 (GLP-1) (7-36) amide secretion diabetic rats."""
6	positive	2	GLP-1	grape	The mechanisms by which grape powder ameliorates the deleterious effects of GLP-1 receptor antagonism warrant further study.
7	positive	2	GLP-1	alpha-linoleic acid	"Recently, it was reported that the unsaturated fatty acid alpha-linoleic acid promotes the secretion of GLP-1 via a G protein-coupled receptor, GPR120."""
8	neutral	1	GLP-1	spread	The gastrointestinal side effects common to GLP-1 based therapeutics such as nausea hamper its wide spread use.
9	neutral	1	GLP-1	spread	"Given the wide spread use of GLP-1 receptor based therapies for type 2 diabetes, drugs targeting this system may be useful in a wider energy balance context."""
10	neutral	1	GLP-1	bitter gourd	"This study aimed to examine the role of GLP-1 in the hypoglycemic activity of wild bitter gourd (Momordica charantia L., BG)."""
11	negative	0	GLP-1	menadione	We show that activation of GLP-1 receptor (GLP-1R) protect cortical neurons from menadione induced oxidative DNA damage via a signaling pathway involving enhanced DNA repair.
12	neutral	1	GLP-1	bean	GLP-1 area under the curve from baseline to 120min (AUC0-120) decreased by 19% (P=0.024) and that of glucose increased by 7% (P=0.046) following the staggered compared to the control bean meal.
13	positive	2	GLP-1	oncorhynchus	"Arginine (Arg), injected intraperitoneally into rainbow trout (Oncorhynchus mykiss), increases plasma concentrations of glucagon, glucagon-like peptide-1 (GLP-1), and insulin by three- to 10-fold."""
14	neutral	1	GLP-1	acetic acid	"GLP-1 release dose-dependently increased after the addition of all tastants, with the exception of acetic acid."""
15	positive	2	GLP-1	proanthocyanidins	Grape-seed proanthocyanidins' role as stimulators of active GLP-1 in rats suggests that they could be effective as satiating agents.
16	positive	2	GLP-1	resins	"Thus, TGR5 represents an essential component in the pathway mediating the enhanced GLP-1 release in response to anionic exchange resins."""
17	neutral	1	GLP-1	l-cysteine	"Propargylglycine, an inhibitor of CSE, reversed the effect of L-cysteine on PI hydrolysis and GLP-1 and PYY release."""
18	negative	0	GLP-1	sourdough	Glucose and GLP-1 responses to sourdough bread were lower (P < 0.05) than whole wheat and whole wheat barley breads.
19	negative	0	GLP-1	nicotine	GLP-1 neurons may therefore serve as 'satiety sensors' for nicotine that stimulate habenular systems to promote nicotine avoidance before its aversive effects are encountered.
20	positive	2	GLP-1	l-glutamate	"GLP-1 (7-36) prevented H2O2-, l-glutamate-, tunicamycin-, thapsigargin-, and amyloid 1-42-induced neuronal cell death in a concentration-dependent manner."""
21	neutral	1	GLP-1	d-xylose	"At each time point, serum glucose, insulin, GLP-1 and D-xylose levels were measured 3 h after a standardized mixed meal."""
22	positive	2	GLP-1	l-ornithine	"In addition, this is the first study to show that also L-ornithine powerfully elicits GLP-1 release in vivo."""
23	positive	2	GLP-1	ursolic acid	"Ursolic acid also increased the plasma GLP-1 level via TGR5 activation, which was further characterized in vivo with type 1-like diabetic rats."""
24	neutral	1	GLP-1	indole	"Indole increased GLP-1 release during short exposures, but it reduced secretion over longer periods."""
25	neutral	1	GLP-1	momordica charantia	"This study aimed to examine the role of GLP-1 in the hypoglycemic activity of wild bitter gourd (Momordica charantia L., BG)."""
26	negative	0	GLP-1	glucosamine	"This glucosamine toxicity can be blocked by GLP-1, which leads to recovery of the glucose uptake through a PKA-independent, cAMP-dependent mechanism."""
27	negative	0	GLP-1	glucosamine	"Therefore GLP-1 may exert its effect mainly through cAMP-dependent, Epac-mediated restoration of glucose uptake that is typically impaired by glucosamine."""
28	neutral	1	GLP-1	ribonuclease	By ribonuclease protection assay we have demonstrated the expression of both glucagon and GLP-1 receptor mRNA in cultured rat islets.
29	positive	2	GLP-1	succinic acid	It was recently proposed that suitable succinic acid esters could be used to potentiate the insulinotropic action of glucagon-like peptide 1 (GLP-1) in the treatment of type-2 diabetes mellitus.
30	neutral	1	GLP-1	succinic acid	These findings suggest that succinic acid esters could be used to prolong the insulinotropic action of GLP-1 in the treatment of type-2 diabetes.
31	neutral	1	GLP-1	dicoumarol	"Twelve novel dicoumarol glucagon-like peptide 1 (GLP-1) conjugates were designed, synthesized, and tested for biological activity."""
32	neutral	1	GLP-1	erythritol	"Replacing sucrose with erythritol leads to comparable hunger and satiety scores, GLP-1 and PYY levels, and subsequent sucrose preference and intake."""
33	positive	2	GLP-1	erythritol	"Xylitol and erythritol led to a marked increase in CCK and GLP-1, whereas insulin and plasma glucose were not (erythritol) or only slightly (xylitol) affected."""
34	positive	2	GLP-1	cream	"Fast ice cream consumption stimulated GLP-1 release in normal subjects, a greater increase being observed with slow feeding."""
35	positive	2	GLP-1	rotenone	"GLP-1, GIP and dual incretin receptor agonists showed protective effects in SH-SY5Y cells treated with the stressor Rotenone."""
36	negative	0	GLP-1	pyridoxine	Data reported here suggest that clinically relevant doses of GLP-1 and Ex4 may offer some protection against the sensory peripheral neuropathy induced by pyridoxine.
37	negative	0	GLP-1	ruthenium	"GLP-1 produced [Ca(2+)](i) oscillations in the cells, both in media with and without Ca(2+), an effect inhibited by ruthenium red and mimicked by 8-Br-cAMPS."""
38	positive	2	GLP-1	phellopterin	"Among these, phellopterin activated GPR119 and increased active GLP-1 and insulin secretion in vitro and enhanced glucose tolerance in normal and db/db mice."""
39	positive	2	GLP-1	pectin	"Plasma concentrations of satiety hormones PYY and total GLP-1 were increased by dietary pectin (168% and 151%, respectively) but not by high protein."""
40	positive	2	GLP-1	xylitol	"Xylitol and erythritol led to a marked increase in CCK and GLP-1, whereas insulin and plasma glucose were not (erythritol) or only slightly (xylitol) affected."""
41	positive	2	GLP-1	curcumin	Increases in the secretion of endogenous GLP-1 induced by curcumin may allow the dosages of other diabetic medicines to be reduced and aid in the prevention of diabetes.
